A1_Rep1	A1_Rep2	A1_Rep3	A2-3_Rep1	A2-3_Rep2	A2-3_Rep3	Cu_Rep1	Cu_Rep2	Cu_Rep3	LFC-Fe_Rep1	LFC-Fe_Rep2	LFC-Fe_Rep3	Fe_Rep1	Fe_Rep2	Fe_Rep3	P1_Rep1	P1_Rep2	P1_Rep3	P2-4_Rep1	P2-4_Rep2	P2-4_Rep3
FBgn0000047	7.88708322445536	6.48427279845458	6.18768300799114	5.57695431065278	5.24204382362586	5.59327943048386	5.43479881937488	6.54433020287096	5.62540700478766	5.55232478660306	6.42286921298134	5.47028208851506	5.64716430324487	4.64383539498032	5.03537449420652	4.90532361809259	4.64383539498032	4.92880902290203	4.99214923522964	4.64383539498032	4.90580797003454
FBgn0000052	10.8807645873846	10.2708746089389	10.5318466359078	9.27440645999348	10.9415627705311	10.5966456605625	10.0369893936739	9.5182401683689	8.96061874036933	9.38197829229681	9.79810816460762	9.71962738910828	9.62518721623853	9.94050025203101	9.0050743961905	9.2715676713998	9.57549211499032	9.21081111597196	9.32824179072069	9.35425211093983	9.35884885148949
FBgn0000053	9.28327609523583	9.31070345992777	9.06090248055707	8.68375192998723	9.25262524814922	9.60501034725453	10.1427711222036	9.1072217126027	8.73162497162491	9.26654365883904	9.36813707078306	9.41677101421312	8.98320541793864	9.25424312779572	9.12985395457572	8.71964298161403	9.05732823822184	9.42753791448652	9.35756384640461	9.33827619603727	9.92087014653926
FBgn0000055	12.1417725377303	12.2823569828934	12.6817008036661	11.3178737798684	9.68886573343883	10.5184946404758	12.4011529234597	9.32997812799701	9.44345237793222	9.89061074763434	9.7868851780943	10.6222749025586	10.133774314493	12.2408591457989	11.0263769433523	10.19568769648	11.5682555539349	10.6137169540753	12.6265670397931	13.3125387337183	12.9324678329877
FBgn0000056	7.2627574331481	4.64383539498032	7.32531053909939	6.74604223968337	4.64383539498032	6.59375385053502	4.64383539498032	4.64383539498032	5.42530134743054	4.64383539498032	4.64383539498032	5.59397136415742	4.64383539498032	6.1368191246023	4.64383539498032	4.64383539498032	4.64383539498032	5.75771088374116	7.16752911914879	7.5183416521363	7.28473052399482
FBgn0000057	8.79854427846523	8.90126998700301	9.01997309833812	9.28698481675841	9.45167517070504	9.43232180515252	8.37490674121885	8.40528194945688	8.35953138166997	8.84062617695729	8.72273778688256	8.77175180570554	8.86453015513111	8.88836602583475	8.63200137128352	8.92727892418886	9.32926660298525	8.98233832580238	8.9735362228896	9.10318716976545	8.94429791838452
FBgn0000063	5.76746396186719	6.83663157778576	5.46309347061794	5.30929629807243	5.76882122279885	5.93586986710019	5.70666214386587	6.07684001004038	6.23935348418585	6.50681994269473	5.75268768174793	7.54820654743382	4.64383539498032	6.16195447305382	5.72891969977962	7.31187498984805	6.11830024121225	7.43976977988041	5.7226651775068	6.33921824370271	6.89659593125287
FBgn0000064	13.7269511695262	13.4629351982856	13.8976141656648	14.1754403431884	13.6419495778408	14.0573984209637	13.504598063101	13.3899594226819	13.2811724032006	13.2830127320221	13.1509558372389	12.9120869736581	13.3654182659838	13.5930796972277	13.1420625553082	13.1623938290815	13.5118273039277	12.9420436130594	13.9930558743737	14.0702530535815	13.8190248242601
FBgn0000071	5.44813845350596	5.85270290789573	5.67219468048695	5.94231421552563	5.33297551890151	5.22286550554549	5.39297276100912	5.26158115147223	5.25206917453306	5.55232478660306	5.47910439678264	5.36194923466761	4.64383539498032	5.57716498787615	5.50901003949809	5.16469458951468	5.32594058539841	5.21104936042349	4.99214923522964	5.18796289309273	4.90580797003454
FBgn0000075	6.10487144796204	7.62360513990132	6.42243898085585	5.30929629807243	5.13342445701288	4.64383539498032	5.22101739214017	4.64383539498032	4.64383539498032	4.64383539498032	5.02153850597373	4.88540318615481	4.64383539498032	4.85600148097584	5.03537449420652	4.64383539498032	5.40472572920356	4.92880902290203	5.33551271994455	5.36053006200017	5.46238066581308
FBgn0000077	7.95893441207068	8.13092708730598	8.1012605214762	8.04544667320343	7.72297229971488	7.69472365721582	7.63903996826508	7.69733088621925	7.83062529604581	7.92958911778439	7.86690896856626	7.97705564651858	7.90924895691213	7.79175100542453	7.83418704357013	7.90750046233042	8.21767907161741	7.92569750590197	8.0782188809547	8.03690580503896	8.35891107472921
